pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
HAT-P-29 b,HAT-P-29 b,2456210.6153599997,5.72319,1.3,0.0885,11.032803679404251,119.29107094751143,0.591,0.08109999999999999,0.93,6087.0,1.45,0.88
HAT-P-3 b,HAT-P-3 b,2454856.70195,2.8997,0.87,0.1094,9.555336940486635,86.06012279996214,0.574,0.043479166666666666,2.28,5185.0,1.06,0.65
HAT-P-30 b,HAT-P-30 b,2455456.4662,2.8106,1.31,0.1109,6.877746047783164,60.88628780463782,0.854,0.04435,0.98,6304.0,1.55,0.83
HAT-P-31 b,HAT-P-31 b,2458169.941,5.00542,1.39,0.08,9.436662946693097,117.1038847574913,0.57,0.1070625,0.69,6065.0,1.31,2.27
HAT-P-32 b,HAT-P-32 b,2455867.402743,2.1500082,1.37,0.14886,5.331855713962411,35.90032018613229,0.083,0.06501,0.625,6001.0,1.13,0.68
HAT-P-33 b,HAT-P-33 b,2455110.92672,3.47447,1.79,0.1058,6.000478310471427,56.497825055950315,0.325,0.09194999999999999,0.45,6446.0,1.82,0.92
HAT-P-34 b,HAT-P-34 b,2455431.59706,5.452654,1.53,0.0842,9.52044328439405,118.41835048392815,0.336,0.06614999999999999,0.505,6442.0,1.39,3.33
HAT-P-35 b,HAT-P-35 b,2455578.66158,3.646706,1.44,0.0954,7.433542159222126,78.2021391192639,0.357,0.08199999999999999,0.59,6096.0,1.24,1.056
HAT-P-36 b,HAT-P-36 b,2456698.73591,1.32734683,1.04,0.1199,4.982956684288651,39.490634410754446,0.25,0.0465,1.089,5620.0,1.03,1.8482
HAT-P-37 b,HAT-P-37 b,2455642.14318,2.797436,0.88,0.1378,9.261043977174724,67.32275575742052,0.505,0.048549999999999996,1.87,5500.0,0.93,1.169
HAT-P-38 b,HAT-P-38 b,2455863.11957,4.640382,0.92,0.0918,12.224110588662652,132.65258138838166,0.372,0.06334999999999999,1.20784,5330.0,0.89,0.267
HAT-P-39 b,HAT-P-39 b,2455208.75049,3.54387,1.62,0.0993,6.756257236809183,67.79685728240732,0.349,0.08725,0.34949,6430.0,1.4,0.599
HAT-P-4 b,HAT-P-4 b,2454245.8152099997,3.056536,1.62,0.082,5.8908191781845085,72.89300180193834,0.01,0.088,0.437,5860.0,0.56,0.671
HAT-P-40 b,HAT-P-40 b,2455813.17661,4.45724,1.94,0.0807,6.739152095241905,83.70048156437085,0.174,0.12785,0.2,6080.0,1.03,0.48
HAT-P-41 b,HAT-P-41 b,2454983.86167,2.69405,2.05,0.1049,4.466375213878985,43.463006158669636,0.222,0.07615,0.42,6390.0,2.56,1.19
HAT-P-42 b,HAT-P-42 b,2455952.52603,4.641878,1.53,0.086,8.081273824219927,93.99956425686179,0.577,0.08404999999999999,0.5283800000000001,5743.0,1.18,1.044
HAT-P-43 b,HAT-P-43 b,2455997.37106,3.332687,1.1,0.1193,8.659931360186599,72.3639994789545,0.19,0.0677,1.05193,5645.0,1.05,0.662
HAT-P-44 b,HAT-P-44 b,2455696.93695,4.301219,0.95,0.1343,11.475926623680808,85.41896971243159,0.172,0.06509999999999999,1.0999299999999999,5295.0,0.94,0.352
HAT-P-44 c,HAT-P-44 c,2455711.2,872.2,0.95,,396.56456498399945,3160.4147349305545,,0.25149999999999995,1.0999299999999999,5295.0,0.94,4.0
HAT-P-45 b,HAT-P-45 b,2455729.98612,3.128992,1.32,0.111,7.363222300233904,66.32646856082683,0.281,0.0718,0.45731000000000005,6330.0,1.26,0.892
HAT-P-46 b,HAT-P-46 b,2455701.33646,4.463129,1.4,0.0942,8.862396701564714,94.03266717804124,0.626,0.06455,0.9153,6120.0,1.28,0.493
HAT-P-49 b,HAT-P-49 b,2456399.62484,2.69155,2.06,0.0792,4.569955230707076,57.61646356742382,0.34,0.08559999999999998,0.36,6820.0,2.22,2.2
HAT-P-5 b,HAT-P-5 b,2455432.4551,2.78849,1.12,0.1106,7.819874732554826,70.43637632472779,0.425,0.060849999999999994,1.04,5960.0,1.04,0.98
HAT-P-50 b,HAT-P-50 b,2456285.90993,3.1220109,1.7,0.0782,5.729974501103417,73.59533802146737,0.629,0.07654999999999999,0.357,6280.0,1.27,1.35
HAT-P-51 b,HAT-P-51 b,2456194.1220400003,4.2180278,1.04,0.1278,10.48074997205775,82.03359262370374,0.277,0.07014999999999999,1.223,5449.0,0.98,0.309
HAT-P-52 b,HAT-P-52 b,2455852.10326,2.7535953,0.89,0.1161,8.9250425061461,76.60792341397072,0.461,0.05015,1.75,5131.0,0.89,0.818
HAT-P-53 b,HAT-P-53 b,2455829.44781,1.9616241,1.21,0.112,5.613938675729422,50.153607978347395,0.38,0.0582,0.87,5956.0,1.09,1.484
